project,target,configuration,hash,code,status,start,end
ecom-frontend,serve,development,794990918498452297,0,success,1729912436765,1729925389221
ecom-frontend,serve,development,15734340126402263762,0,success,1729925392448,1729925579602
ecom-frontend,serve,development,649215504328713509,0,success,1729925582621,1729926832547
ecom-frontend,serve,development,15110277687816545379,0,success,1729926835149,1729927632691
ecom-frontend,serve,development,15110277687816545379,0,success,1729927635141,1729927947430
ecom-frontend,serve,development,15110277687816545379,0,success,1729927949965,1729928019942
ecom-frontend,serve,development,4636215079613945748,1,failure,1729928034434,1729928039975
ecom-frontend,serve,development,15110277687816545379,0,success,1729928067193,1729929299325
ecom-frontend,serve,development,1949329955014139852,0,success,1729929302142,1729929751841
ecom-frontend,serve,development,3664158013985451816,0,success,1729929754980,1729929829346
ecom-frontend,serve,development,9870674411080342962,0,success,1729941627363,1729941856029
ecom-frontend,serve,development,1171458073812694841,1,failure,1730004712833,1730004716724
ecom-frontend,serve,development,16384002010057232532,0,success,1730005064190,1730019478921
ecom-frontend,serve,development,5309067767216897786,0,success,1730098861449,1730099185453
ecom-frontend,serve,development,6885057245824103970,0,success,1730099187709,1730099286326
ecom-frontend,serve,development,2809239725720729908,0,success,1730099288719,1730099547317
ecom-frontend,serve,development,11191199312924615214,0,success,1730099549186,1730101990533
ecom-frontend,serve,development,16420609337118400684,0,success,1730126001071,1730127160899
